vg_name,developer,year_released,avg_score,num_reviews,country,est,status,genre,NA_sales,EU_sales,Japan_sales,Nonspec_sales,Tot_sales
Assetto Corsa,Kunos Simulazioni,2016,64.62,16.0,Italy,2005.0,Subsidiary,Racing,0.0,0.06,0.01,0.01,0.08
Atelier Firis: The Alchemist of the Mysterious Journey,Koei Tecmo Games (formerly Koei),2017,75.05,20.0,Japan,1978.0,Subsidiary,Role-Playing,0.02,0.0,0.05,0.01,0.08
Atelier Sophie: The Alchemist of the Mysterious Book,Gust,2016,76.15,23.0,Japan,1993.0,Subsidiary,Role-Playing,0.04,0.03,0.07,0.01,0.15
Attack on Titan (KOEI),Omega Force,2016,74.9,42.0,Japan,1997.0,Subsidiary,Action,0.08,0.24,0.12,0.06,0.5
Attack on Titan 2,Omega Force,2018,75.7,27.0,Japan,1997.0,Subsidiary,Action,0.09,0.04,0.06,0.03,0.22
Baja: Edge of Control HD,THQ Nordic,2017,66.25,4.0,Austria,2011.0,Independent,Racing,0.02,0.0,0.0,0.01,0.03
Batman: Arkham Knight,Rocksteady Studios,2015,88.45,56.0,England,2005.0,Subsidiary,Action,1.65,1.68,0.11,0.66,4.11
Batman: Arkham VR,Rocksteady Studios,2016,76.43,37.0,England,2005.0,Subsidiary,Action,0.32,0.0,0.0,0.07,0.39
Batman: Return to Arkham,Rocksteady Studios,2016,73.88,16.0,England,2005.0,Subsidiary,Action,0.15,0.39,0.01,0.1,0.64
Batman: The Enemy Within,Telltale Games,2017,75.0,5.0,USA,2004.0,Defunct,Adventure,0.05,0.0,0.0,0.01,0.07
Batman: A Telltale Game Series,Telltale Games,2016,69.17,6.0,USA,2004.0,Defunct,Adventure,0.09,0.07,0.0,0.03,0.19
Battle Chasers: Nightwar,THQ,2017,76.46,23.0,USA,1989.0,Defunct,Role-Playing,0.03,0.02,0.0,0.01,0.06
Battleborn,2K Games,2016,69.21,36.0,USA,2005.0,Subsidiary,Shooter,0.25,0.12,0.03,0.08,0.48
Battlefield 1,Electronic Arts,2018,70.0,1.0,USA,1982.0,Independent,Shooter,2.2,3.65,0.29,1.12,7.26
Battlefield 4,Electronic Arts,2013,85.0,10.0,USA,1982.0,Independent,Shooter,1.4,1.74,0.19,0.62,3.94
Battlefield: Hardline,Electronic Arts,2015,73.16,38.0,USA,1982.0,Independent,Shooter,0.72,0.97,0.14,0.33,2.15
Battlezone,Sony Interactive Entertainment,2016,67.68,28.0,USA,1994.0,Subsidiary,Action,0.09,0.04,0.0,0.03,0.16
Berserk and the Band of the Hawk,Omega Force,2017,67.47,38.0,Japan,1997.0,Subsidiary,Action,0.07,0.02,0.05,0.02,0.16
BioShock The Collection,2K Games,2016,83.35,20.0,USA,2005.0,Subsidiary,Shooter,0.41,0.28,0.03,0.14,0.86
Birthdays the Beginning,Arc System Works,2017,67.59,17.0,Japan,1988.0,Independent,Misc,0.05,0.0,0.0,0.01,0.06
Black Mirror,THQ Nordic,2017,57.71,7.0,Austria,2011.0,Independent,Adventure,0.04,0.0,0.0,0.01,0.05
Bladestorm: Nightmare,Omega Force,2015,57.3,23.0,Japan,1997.0,Subsidiary,Action,0.11,0.04,0.03,0.03,0.22
BlazBlue Central Fiction,Arc System Works,2016,83.53,15.0,Japan,1988.0,Independent,Fighting,0.1,0.0,0.05,0.02,0.17
BlazBlue: Chrono Phantasma Extend,Arc System Works,2015,80.41,11.0,Japan,1988.0,Independent,Fighting,0.08,0.04,0.02,0.02,0.16
Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,Gust,2017,69.77,22.0,Japan,1993.0,Subsidiary,Role-Playing,0.07,0.0,0.06,0.02,0.14
Borderlands: The Handsome Collection,2K Games,2019,81.57,7.0,USA,2005.0,Subsidiary,Shooter,0.69,0.34,0.03,0.22,1.28
Bound By Flame,Sony Interactive Entertainment,2016,71.34,37.0,USA,1994.0,Subsidiary,Action,0.08,0.09,0.0,0.04,0.21
Bravo Team VR,Sony Interactive Entertainment,2018,37.64,14.0,USA,1994.0,Subsidiary,Shooter,0.12,0.09,0.02,0.04,0.27
Broken Sword 5: The Serpent's Curse,Revolution Software,2015,73.56,9.0,England,1990.0,Independent,Adventure,0.0,0.06,0.0,0.01,0.07
Bubsy: The Woolies Strike Back,Accolade,2017,42.18,17.0,USA,1984.0,Defunct,Platform,0.04,0.0,0.0,0.01,0.05
Bulletstorm: Full Clip Edition,People Can Fly,2017,74.35,34.0,Poland,2002.0,Independent,Shooter,0.05,0.06,0.0,0.02,0.13
Call of Duty: Advanced Warfare,Activision,2014,83.5,28.0,USA,1979.0,Subsidiary,Shooter,2.84,3.34,0.14,1.22,7.53
Call of Duty: Black Ops 3,Activision,2018,83.93,42.0,USA,1979.0,Subsidiary,Shooter,6.18,6.05,0.41,2.44,15.09
Call of Duty: Ghosts,Activision,2013,78.31,32.0,USA,1979.0,Subsidiary,Shooter,1.79,1.64,0.05,0.69,4.17
Call of Duty: Infinite Warfare,Activision,2016,77.82,57.0,USA,1979.0,Subsidiary,Shooter,3.11,3.83,0.19,1.36,8.48
Call of Duty: Modern Warfare Remastered,Activision,2016,85.36,14.0,USA,1979.0,Subsidiary,Shooter,0.17,0.3,0.03,0.09,0.58
Call of Duty: WWII,Activision,2017,81.01,46.0,USA,1979.0,Subsidiary,Shooter,4.67,6.21,0.4,2.12,13.4
Carmageddon: Max Damage,Stainless Games,2016,50.94,16.0,England,1993.0,Independent,Action,0.02,0.0,0.0,0.0,0.02
Cars 3: Driven to Win,Warner Bros. Interactive Entertainment,2017,72.86,7.0,USA,1988.0,Subsidiary,Racing,0.06,0.18,0.01,0.04,0.29
Child of Light,Ubisoft,2014,83.48,31.0,France,1986.0,Independent,Role-Playing,0.0,0.01,0.04,0.0,0.05
Cities: Skylines,Colossal Order,2018,60.0,1.0,Finland,2009.0,Independent,Simulation,0.15,0.07,0.04,0.05,0.3
ClaDun Sengoku,Nippon Ichi Software,2017,72.5,8.0,Japan,1991.0,Independent,Action,0.02,0.0,0.0,0.0,0.03
Crash Bandicoot N. Sane Trilogy,Activision,2017,81.28,47.0,USA,1979.0,Subsidiary,Platform,1.09,2.92,0.07,0.74,4.83
Danganronpa 1o2 Reload,Chunsoft,2017,85.71,14.0,Japan,1984.0,Defunct,Adventure,0.08,0.0,0.02,0.02,0.12
Danganronpa Another Episode: Ultra Despair Girls,Spike Chunsoft,2017,70.71,7.0,Japan,2012.0,Subsidiary,Shooter,0.03,0.0,0.01,0.01,0.04
Dark Souls II,Bandai,2015,87.23,26.0,Japan,1950.0,Subsidiary,Role-Playing,0.27,0.23,0.09,0.1,0.69
Dark Souls III,Bandai,2016,88.93,49.0,Japan,1950.0,Subsidiary,Role-Playing,1.0,0.63,0.44,0.34,2.42
Darksiders II,Gunfire Games,2015,73.0,22.0,USA,2014.0,Subsidiary,Action-Adventure,0.1,0.1,0.0,0.04,0.24
Darksiders III,Gunfire Games,2018,61.48,31.0,USA,2014.0,Subsidiary,Action,0.13,0.07,0.0,0.04,0.25
Date-A-Live Twin Edition: Rio Reincarnation,Compile Heart,2019,85.0,2.0,Japan,2006.0,Subsidiary,Adventure,0.0,0.0,0.01,0.0,0.01
Deformers,Ready at Dawn,2017,51.0,4.0,USA,2003.0,Independent,Action,0.05,0.0,0.0,0.01,0.06
Dead Island Definitive Collection,Techland,2016,61.71,21.0,Poland,1991.0,Independent,Action,0.09,0.08,0.03,0.03,0.23
Dead or Alive 5,Team Ninja,2015,75.19,29.0,Japan,1995.0,Subsidiary,Fighting,0.09,0.13,0.09,0.04,0.35
Dead or Alive Xtreme 3: Fortune,Team Ninja,2016,48.33,3.0,Japan,1995.0,Subsidiary,Sports,0.0,0.0,0.06,0.0,0.06
Dead Rising,Capcom,2016,86.5,4.0,Japan,1979.0,Independent,Action,0.04,0.0,0.02,0.01,0.08
Dead Rising 2,Capcom,2016,76.25,4.0,Japan,1979.0,Independent,Action,0.04,0.0,0.02,0.01,0.07
Dead Rising 4,Capcom,2017,73.23,22.0,Japan,1979.0,Independent,Action-Adventure,0.08,0.05,0.0,0.03,0.16
Deadpool,Activision,2015,57.5,4.0,USA,1979.0,Subsidiary,Action,0.26,0.13,0.0,0.08,0.47
Destiny,Activision,2014,76.83,64.0,USA,1979.0,Subsidiary,Shooter,2.53,2.13,0.16,0.94,5.76
Destiny 2,Activision,2017,84.88,57.0,USA,1979.0,Subsidiary,Shooter,1.92,1.44,0.1,0.69,4.14
Destiny: The Taken King,Activision,2015,86.04,54.0,USA,1979.0,Subsidiary,Shooter,0.97,0.8,0.05,0.36,2.18
Detroit: Become Human,Quantic Dream,2018,77.3,50.0,France,1997.0,Independent,Adventure,0.55,0.67,0.12,0.24,1.57
Deus Ex: Mankind Divided,Square Enix,2016,83.75,36.0,Japan,1975.0,Independent,Role-Playing,0.25,0.34,0.01,0.12,0.72
Devil May Cry 4,Capcom,2015,77.03,17.0,Japan,1979.0,Independent,Action,0.01,0.0,0.09,0.0,0.1
DmC: Devil May Cry,Capcom,2019,87.0,22.0,Japan,1979.0,Independent,Action,0.12,0.13,0.0,0.05,0.31
Diablo III,Activision,2017,95.0,1.0,USA,1979.0,Subsidiary,Role-Playing,0.83,1.48,0.08,0.44,2.82
Digimon Story: Cyber Sleuth - Hacker's Memory,Bandai,2016,76.15,33.0,Japan,1950.0,Subsidiary,Role-Playing,0.05,0.05,0.04,0.02,0.16
Digimon World: Next Order,Bandai,2017,68.75,16.0,Japan,1950.0,Subsidiary,Role-Playing,0.13,0.05,0.02,0.04,0.24
DiRT 4,Codemasters,2017,85.17,23.0,England,1985.0,Independent,Racing,0.1,0.3,0.02,0.07,0.49
DiRT Rally,Codemasters,2016,84.87,24.0,England,1985.0,Independent,Racing,0.13,0.3,0.0,0.08,0.51
Disgaea 5: Alliance of Vengeance,Nippon Ichi Software,2015,81.85,41.0,Japan,1991.0,Independent,Role-Playing,0.15,0.08,0.07,0.05,0.35
Dishonored 2,Arkane Studios,2016,86.94,39.0,France,1999.0,Subsidiary,Action,0.62,1.02,0.01,0.31,1.97
Dishonored: Death of the Outsider,Arkane Studios,2017,82.62,25.0,France,1999.0,Subsidiary,Action,0.1,0.18,0.0,0.05,0.33
Dishonored,Arkane Studios,2015,80.19,21.0,France,1999.0,Subsidiary,Action,0.12,0.21,0.02,0.06,0.42
Disney Infinity 3.0,Disney Interactive Studios,2014,73.17,36.0,USA,1988.0,Defunct,Action,0.31,0.4,0.0,0.14,0.85
Dissidia Final Fantasy NT,Square Enix,2018,65.09,33.0,Japan,1975.0,Independent,Fighting,0.19,0.06,0.16,0.05,0.46
Divinity: Original Sin,Chunsoft,2015,87.86,28.0,Japan,1984.0,Defunct,Role-Playing,0.13,0.13,0.04,0.05,0.34
DJ Max Respect,Neowiz,2018,87.14,7.0,South Korea,1997.0,Independent,Misc,0.0,0.0,0.01,0.0,0.01
Doom (2016),id Software,2016,85.82,42.0,USA,1991.0,Subsidiary,Shooter,0.93,1.48,0.04,0.46,2.92
DOOM VFR,id Software,2017,71.46,24.0,USA,1991.0,Subsidiary,Shooter,0.22,0.25,0.0,0.09,0.56
Dragon Age III: Inquisition,BioWare,2014,89.68,34.0,Canada,1995.0,Subsidiary,Role-Playing,1.07,0.8,0.08,0.38,2.34
Dragon Ball Fighter Z,Arc System Works,2018,86.76,36.0,Japan,1988.0,Independent,Fighting,0.61,0.51,0.12,0.23,1.46
Dragon Ball: Xenoverse 2,Bandai,2015,70.26,31.0,Japan,1950.0,Subsidiary,Action,0.54,0.59,0.14,0.23,1.5
Dragon Quest Builders: Revive Alefgard,Square Enix,2016,83.7,46.0,Japan,1975.0,Independent,Role-Playing,0.12,0.17,0.24,0.06,0.58
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,Omega Force,2017,77.17,42.0,Japan,1997.0,Subsidiary,Action,0.05,0.09,0.3,0.03,0.47
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,Omega Force,2015,78.07,52.0,Japan,1997.0,Subsidiary,Action,0.21,0.14,0.39,0.07,0.81
Dragon Quest XI,Square Enix,2018,88.66,49.0,Japan,1975.0,Independent,Role-Playing,0.29,0.22,1.43,0.1,2.04
Dragon's Dogma,Capcom,2017,78.89,9.0,Japan,1979.0,Independent,Role-Playing,0.07,0.07,0.03,0.03,0.21
DriveClub,Evolution Studios,2014,70.72,55.0,England,1999.0,Defunct,Racing,0.37,1.63,0.02,0.36,2.37
Duke Nukem 3D: 20th Anniversary World Tour,Gearbox Software,2016,75.25,16.0,USA,1999.0,Independent,Shooter,0.07,0.0,0.0,0.02,0.09
Dungeons 2,Kalypso Media,2016,66.5,10.0,Germany,2006.0,Independent,Role-Playing,0.02,0.0,0.0,0.0,0.02
Dying Light,Techland,2015,75.02,43.0,Poland,1991.0,Independent,Action,1.18,0.74,0.13,0.4,2.45
Dynasty Warriors 8: Empires,Omega Force,2015,66.47,19.0,Japan,1997.0,Subsidiary,Misc,0.07,0.07,0.04,0.03,0.21
Dynasty Warriors 8: Xtreme Legends,Omega Force,2014,72.27,22.0,Japan,1997.0,Subsidiary,Misc,0.09,0.12,0.06,0.04,0.31
EA Sports UFC,Electronic Arts,2014,70.03,39.0,USA,1982.0,Independent,Fighting,0.49,0.43,0.01,0.18,1.11
EA Sports UFC 3,Electronic Arts,2018,75.67,29.0,USA,1982.0,Independent,Sports,0.4,0.41,0.01,0.16,0.97
Eagle Flight,Ubisoft,2016,74.94,17.0,France,1986.0,Independent,Adventure,0.09,0.08,0.0,0.03,0.2
Earth's Dawn,Rising Star Games,2016,67.0,6.0,England,2004.0,Subsidiary,Action,0.02,0.0,0.0,0.0,0.02
Elex,Piranha Bytes,2017,58.93,14.0,Germany,1997.0,Subsidiary,Role-Playing,0.03,0.16,0.0,0.04,0.23
Elite: Dangerous,Frontier Developments,2017,78.0,10.0,England,1994.0,Independent,Simulation,0.06,0.1,0.0,0.03,0.19
EVE: Valkyrie,CCP Games,2016,73.36,14.0,Iceland,1997.0,Subsidiary,Shooter,0.11,0.06,0.0,0.04,0.21
Everybody's Golf,Clap Hanz,2017,78.42,26.0,Japan,1998.0,Independent,Sports,0.12,0.22,0.17,0.06,0.56
Evolve,2K Games,2015,74.52,31.0,USA,2005.0,Subsidiary,Shooter,0.38,0.41,0.05,0.16,1.01
Extinction,Iron Galaxy Studios,2018,42.91,23.0,USA,2008.0,Independent,Action,0.05,0.0,0.0,0.01,0.06
F1 2015,Codemasters,2015,65.02,25.0,England,1985.0,Independent,Racing,0.1,0.45,0.04,0.1,0.68
F1 2016 (Codemasters),Codemasters,2016,81.93,27.0,England,1985.0,Independent,Racing,0.07,0.56,0.03,0.11,0.78
F1 2017,Codemasters,2017,87.65,23.0,England,1985.0,Independent,Racing,0.04,0.47,0.02,0.09,0.62
Fairy Fencer F: Advent Dark Force,Compile Heart,2016,70.0,17.0,Japan,2006.0,Subsidiary,Role-Playing,0.06,0.0,0.06,0.01,0.14
Fallout 4,Bethesda Game Studios,2015,88.6,42.0,USA,2001.0,Subsidiary,Role-Playing,2.91,3.97,0.27,1.34,8.48
Far Cry 4,Ubisoft,2014,83.76,57.0,France,1986.0,Independent,Shooter,1.18,2.14,0.11,0.63,4.06
Far Cry 5,Ubisoft,2018,82.12,50.0,France,1986.0,Independent,Action,1.44,1.73,0.15,0.62,3.95
Far Cry: Primal,Ubisoft,2016,76.77,57.0,France,1986.0,Independent,Action-Adventure,0.63,1.61,0.07,0.41,2.73
Farpoint,Sony Interactive Entertainment,2017,68.64,28.0,USA,1994.0,Subsidiary,Shooter,0.0,0.38,0.04,0.06,0.48
Fate/Extella: The Umbral Star,Marvelous,2017,65.53,19.0,Japan,1997.0,Independent,Action,0.12,0.0,0.12,0.03,0.27
FIFA 15,Electronic Arts,2014,82.36,29.0,USA,1982.0,Independent,Sports,0.83,4.49,0.05,0.94,6.32
FIFA 17,Electronic Arts,2016,84.2,28.0,USA,1982.0,Independent,Sports,1.26,7.95,0.12,1.61,10.94
FIFA 18,Electronic Arts,2017,83.26,37.0,USA,1982.0,Independent,Sports,1.27,8.64,0.15,1.73,11.8
Final Fantasy Type-0,Square Enix,2015,72.5,56.0,Japan,1975.0,Independent,Role-Playing,0.4,0.33,0.16,0.15,1.04
Final Fantasy X/X-2 HD Remaster,Square Enix,2015,83.33,12.0,Japan,1975.0,Independent,Role-Playing,0.34,0.36,0.07,0.14,0.9
Final Fantasy XII: The Zodiac Age,Square Enix,2017,86.17,41.0,Japan,1975.0,Independent,Role-Playing,0.37,0.41,0.16,0.15,1.1
Final Fantasy XIV: A Realm Reborn,Square Enix,2014,86.08,24.0,Japan,1975.0,Independent,MMO,0.35,0.23,0.08,0.12,0.79
Final Fantasy XIV: Heavensward,Square Enix,2015,86.0,13.0,Japan,1975.0,Independent,MMO,0.0,0.09,0.06,0.02,0.17
