vg_name,developer,year_released,avg_score,num_reviews
American Fugitive,Fallen Tree Games/Curve Digital,2019,63.86,7.0
Amnesia Collection,Frictional Games,2016,78.0,15.0
Among the Sleep,Krillbite Studio/Soedesco,2015,67.27,11.0
Amplitude,Harmonix Music Systems,2016,73.79,45.0
Anamorphine,Artifact 5,2018,58.14,7.0
Ancestors Legacy,Destructive Creations,2019,78.75,4.0
Ancient Amuletor,TIGAMES,2017,61.67,9.0
Angry Birds Star Wars,Exient Entertainment/Activision,2013,48.33,6.0
Angry Birds VR: Isle of Pigs,Resolution Games,2019,65.0,2.0
Anima: Gate of Memories,Anima Project/Badland Games,2016,45.91,11.0
Anima: Gate of Memories - The Nameless Chronicles,Anima Project/Badland Games,2018,80.0,1.0
Animal Force,Sony Interactive Entertainment,2018,57.5,2.0
Anomaly 2,11 bit studios,2014,73.71,14.0
Another Sight,Lunar Great Wall Studios/Toplitz Productions,2019,50.0,1.0
Another World: 20th Anniversary Edition,The Digital Lounge,2014,58.0,7.0
Anoxemia,BSK Games/Badland Games,2017,54.0,2.0
Anthem,BioWare/Electronic Arts,2019,60.0,16.0
Anyone's Diary,Sonotrigger/Factoria Cultural Gestio,S.L.,55.0,1.0
AO International Tennis,Big Ant Studios,2018,45.0,7.0
AO Tennis,Big Ant Studios/Five Star Games,2018,37.5,2.0
Ape Escape 2,SCE Japan Studio/Sony Interactive Entertainment,2016,70.0,1.0
Apex Construct,Fast Travel Games,2018,73.36,11.0
Apex Legends,Respawn Entertainment/Electronic Arts,2019,86.83,15.0
Apotheon,Alientrap,2015,74.23,13.0
Aqua Kitty: Milk Mine Defender DX,Tikipod Limited/Playism,2014,76.25,4.0
Aqua Moto Racing Utopia,Zordix,2016,57.5,2.0
Aqua TV,EM Studios,2017,70.0,1.0
Aragami,Lince Works,2016,71.32,22.0
Aragami: Nightfall,Lince Works,2018,72.5,2.0
Aragami: Shadow Edition,Lince Works,2018,75.0,2.0
Arca's Path VR,Rebellion,2018,71.11,9.0
Arcade Archives: A-JAX,Hamster,2015,30.0,1.0
Arcade Archives: Bomb Jack,Koei Tecmo Games/Hamster,2015,40.0,1.0
Arcade Archives: Bubble Bobble,Hamster,2016,50.0,1.0
Arcade Archives: Buta San,Hamster,2015,70.0,1.0
Arcade Archives: City Connection,Hamster,2015,40.0,1.0
Arcade Archives: Cosmo Police Galivan,Hamster,2015,50.0,1.0
Arcade Archives: Crazy Climber 2,Hamster,2015,60.0,1.0
Arcade Archives: Double Dragon,Arc System Works/Hamster,2015,80.0,1.0
Arcade Archives: Double Dragon II - The Revenge,Arc System Works/Hamster,2016,40.0,1.0
Arcade Archives: Ikki,Hamster,2015,50.0,1.0
Arcade Archives: Kid's HoreHore Daisakusen,Hamster,2016,40.0,1.0
Arcade Archives: Life Force,Hamster,2016,60.0,1.0
Arcade Archives: MagMax,Hamster,2015,40.0,1.0
Arcade Archives: Mat Mania Exciting Hour,Hamster,2015,50.0,1.0
Arcade Archives: Moon Cresta,Hamster,2015,60.0,1.0
Arcade Archives: Mr. Goemon,Hamster,2015,60.0,1.0
Arcade Archives: Ninja Gaiden,Hamster,2019,40.0,1.0
Arcade Archives: Ninja-Kid II,Hamster,2015,70.0,1.0
Arcade Archives: Nova 2001,Hamster,2015,70.0,1.0
Arcade Archives: Scramble,Hamster,2015,20.0,1.0
Arcade Archives: Shanghai III,Kuusou Kagaku/Hamster,2015,40.0,1.0
Arcade Archives: Solomon's Key,Koei Tecmo Games/Hamster,2015,50.0,1.0
Arcade Archives: Super Dodge Ball,Arc System Works/Hamster,2015,50.0,1.0
Arcade Archives: Terra Cresta,Hamster,2015,60.0,1.0
Arcade Archives: The Legend of Kage,Hamster,2015,70.0,1.0
Arcade Archives: TwinBee,Hamster,2016,40.0,1.0
Arcade Classics Anniversary Collection,Konami,2019,63.4,5.0
Arcade Islands: Volume One,Mastiff,2018,50.0,1.0
Arcania: The Complete Tale,Nordic Games Publishing,2015,40.0,6.0
Archangel,Skydance Interactive,2017,73.64,14.0
Arizona Sunshine,Jaywalkers Interactive/Vertigo Games,2017,65.0,16.0
ARK Park,Snail Games/Studio Wildcard,2018,50.2,5.0
ARK: Survival Evolved,Studio Wildcard,2017,67.7,10.0
ArmaGallant: Decks of Destiny,Maximum Games,2017,72.5,4.0
Armello,League of Geeks,2015,74.86,14.0
Armikrog,Pencil Test Studios/Versus Evil,2016,45.0,6.0
Armored Warfare,MY.COM,2018,76.67,3.0
Arslan: The Warriors of Legend,Omega Force/Koei Tecmo Games,2016,70.9,31.0
Art of Balance,Shin'en,2016,80.0,1.0
Ascendant,Hapa Games,2015,37.5,2.0
Asdivine Hearts,Kemco,2017,40.0,2.0
Asemblance,Nilo Studios,2016,59.17,12.0
Asemblance: Oversight,Nilo Studios,2018,90.0,1.0
Ashes Cricket,Big Ant Studios,2017,73.0,5.0
Assassin's Creed Chronicles: China,Climax Studios/Ubisoft,2015,68.11,27.0
Assassin's Creed Chronicles: India,Climax Studios/Ubisoft,2016,62.85,26.0
Assassin's Creed Chronicles: Russia,Climax Studios/Ubisoft,2016,57.17,12.0
Assassin's Creed III Remastered,Ubisoft,2019,70.3,10.0
Assassin's Creed IV: Black Flag,Ubisoft,2013,85.31,18.0
Assassin's Creed IV: Black Flag - Freedom Cry,Ubisoft Montreal/Ubisoft,2013,78.33,9.0
Assassin's Creed Odyssey,Ubisoft,2018,83.65,46.0
Assassin's Creed Odyssey - The Fate of Atlantis - Episode 1: Fields of Elysium,Ubisoft Quebec/Ubisoft,2019,60.0,1.0
Assassin's Creed Odyssey - The Fate of Atlantis - Episode 2: Torment of Hades,Ubisoft Quebec/Ubisoft,2019,70.0,1.0
Assassin's Creed Odyssey - The Fate of Atlantis - Episode 3: Judgment of Atlantis,Ubisoft Quebec/Ubisoft,2019,75.0,2.0
