vg_name,developer,year_released,avg_score,num_reviews
Call of Duty: WWII - Shadow War,Sledgehammer Games/Activision,2018,78.5,2.0
Call of Duty: WWII - The Resistance,Sledgehammer Games/Activision,2018,73.29,7.0
Call of Duty: WWII - The War Machine,Sledgehammer Games/Activision,2018,72.6,5.0
Call of Duty: WWII - United Front,Sledgehammer Games/Activision,2018,68.0,3.0
Calvino Noir,Calvino Noir Ltd.,2015,45.63,8.0
Candlelight,Pixel Maverick Games,2016,69.0,5.0
Candleman: The Complete Journey,Spotlightor Interactive/Zodiac Interactive,2018,76.67,3.0
Cannon Brawl,Turtle Sandbox LLC/BlitWorks,2016,70.0,1.0
Capcom Beat 'Em Up Bundle,Capcom,2018,71.43,7.0
Capsule Force,klobit/Iron Galaxy Studios,2015,80.0,1.0
Carmageddon: Max Damage,Stainless Games,2016,50.94,16.0
Carnival Games,Mass Media/2K Games,2018,70.0,1.0
Carnival Games VR,Cat Daddy Games/2K Games,2016,56.14,7.0
Carnival Games VR: Alley Adventure,Cat Daddy Games/2K Games,2017,80.0,1.0
Cars 3: Driven to Win,Avalanche Software/Warner Bros. Interactive Entertainment,2017,72.86,7.0
Cartoon Network: Battle Crashers,Magic Pockets/GameMill Entertainment,2016,25.0,5.0
Casey Powell Lacrosse 16,Crosse Studios,2016,68.75,4.0
Cast of the Seven Godsends: Redux,Raven Travel Studios/Merge Games,2016,50.0,1.0
Castaway Paradise,Stolen Couch Games,2018,66.0,5.0
Castle Invasion: Throne Out,Cat Trap Studios,2016,60.0,1.0
Castles,Whootgames/Badland Games,2016,40.0,2.0
CastleStorm: Definitive Edition,Zen Studios,2014,75.0,9.0
CastleStorm: Virtual Reality,Zen Studios,2017,74.25,8.0
Castlevania Anniversary Collection,M2/Konami,2019,79.0,7.0
Castlevania Requiem: Symphony of the Night & Rondo of Blood,Konami,2018,75.62,16.0
Cat Quest,The Gentlebros/PQube,2017,70.0,5.0
Catastronauts!,Inertia Game Studios,2018,76.75,4.0
Catherine: Full Body,Atlus,2019,78.12,26.0
Catlateral Damage,Manekoware/Fire Hose Games,2016,57.44,9.0
Caveman Warriors,JanduSoft,2017,55.6,5.0
Cel Damage HD,Finish Line Games,2014,58.5,12.0
Celeste,Matt Makes Games Inc.,2018,86.0,5.0
Chambara,team ok,2016,73.44,9.0
Chaos Code: New Sign of Catastrophe,FK Digital/Arc System Works,2017,66.11,9.0
Chaos on Deponia,Daedalic Entertainment,2017,75.0,2.0
Chaos;Child,5pb,2017,75.56,9.0
Chariot,Frima Studio,2014,77.8,10.0
Chasm,Discord Games,2018,65.0,1.0
Chernobyl,The Farm 51,2017,55.0,1.0
Chess Ultra,Ripstone,2017,83.75,4.0
Child of Light,Ubisoft Montreal/Ubisoft,2014,83.48,31.0
Children of Zodiarcs,Cardboard Utopia,2017,81.67,6.0
Chime Sharp,Chilled Mouse,2017,68.33,3.0
Chimparty,NapNok Games/Sony Interactive Entertainment,2018,61.83,6.0
Chivalry: Medieval Warfare,Hardsuit Labs/Activision,2015,63.75,4.0
Chocobo's Mystery Dungeon: Every Buddy!,Square Enix,2019,75.33,3.0
Chroma Squad,Behold Studios,2017,76.2,5.0
ChromaGun,Pixel Maniacs,2017,72.86,7.0
ChromaGun VR,Pixel Maniacs,2019,65.83,6.0
Chronicles of Teddy: Harmony of Exidus,LookAtMyGame/Aksys Games,2016,79.17,6.0
Circuit Breakers,Triverske/Merge Games,2017,50.0,3.0
Cities: Skylines - Mass Transit,Colossal Order/Paradox Interactive,2018,60.0,1.0
Cities: Skylines - Natural Disasters,Colossal Order/Paradox Interactive,2018,80.0,1.0
Cities: Skylines - PlayStation 4 Edition,Tantalus/Paradox Interactive,2017,81.43,7.0
Cities: Skylines - Snowfall,Colossal Order/Paradox Interactive,2017,67.5,2.0
Citizens of Earth,Eden Industries/Atlus,2015,67.75,20.0
Citizens of Space,Sega,2019,63.06,9.0
City of Brass,Uppercut Games Pty Ltd,2018,65.94,16.0
ClaDun Returns: This is Sengoku!,Nippon Ichi Software/NIS America,2017,72.5,8.0
Claire: Extended Cut,Hailstorm Games Inc,2016,60.0,2.0
Clicker Heroes,Playsaurus,2017,50.0,1.0
Clockwork Tales: Of Glass and Ink,Artifex Mundi,2016,40.0,1.0
Clouds & Sheep 2,HandyGames,2017,80.0,1.0
Code:Realize - Bouquet of Rainbows,Otomate/Idea Factory,2018,75.0,2.0
Code:Realize - Wintertide Miracles,Otomate/Idea Factory,2019,65.0,2.0
Coffin Dodgers,Milky Tea Studios/Wales Interactive Ltd.,2016,35.0,10.0
Cold Iron,Catch & Release,2018,73.67,6.0
Color Guardians,Fair Play Labs/CrossFunction,2015,68.36,14.0
Comet Crash 2: The Kronkoid Wars,Pelfast,2017,75.0,4.0
Commander Cherry's Puzzled Journey,Grande Games,2015,50.0,5.0
Conan Exiles,Funcom,2018,64.97,16.0
Conarium,Zoetrope Interactive/Iceberg Interactive,2019,65.5,4.0
Conga Master,Undercoders/Rising Star Games,2017,70.0,1.0
Construction Simulator 2: Console Edition,Software Entwicklung GmbH/astragon,2018,55.0,1.0
Contra Anniversary Collection,M2/Konami,2019,72.0,4.0
Contrast,Compulsion Games/Focus Home Interactive,2013,58.5,26.0
Control,Remedy Entertainment/505 Games,2019,83.38,29.0
"Cook, Serve, Delicious! 2!!",Vertigo Games,2018,80.0,1.0
Coolpaintr VR,Singular People,S.L.,60.0,1.0
Corridor Z,Mass Creation,2016,68.33,3.0
Cosmic Star Heroine,Zeboyd Games,2017,77.57,7.0
Cosmophony,Bento/Moving Player,2015,56.67,3.0
Costume Quest 2,Double Fine Productions/Majesco,2014,74.67,9.0
CounterSpy,Dynamighty/SCEA,2014,66.44,36.0
Crash Bandicoot N. Sane Trilogy,Vicarious Visions/Activision,2017,81.28,47.0
Crash Team Racing: Nitro-Fueled,Beenox/Activision,2019,83.81,32.0
Crayola Scoot,Outright Games,2018,65.0,2.0
Crazy Strike Bowling EX,Corecell Technology,2016,53.0,5.0
Creed: Rise to Glory,Survios,2018,74.29,7.0
Cricket 19,Big Ant Studios,2019,67.5,4.0
Crimson Keep,Ian Atherton/Merge Games,2019,43.0,2.0
Crimsonland,10tons,2014,63.06,16.0
Crisis on the Planet of the Apes VR,Imaginati/FoxNext VR Studio,2018,54.29,7.0
Croixleur Sigma,souvenir circ./Active Gaming Media,2016,64.17,6.0
Crossing Souls,Fourattic/Devolver Digital,2018,73.93,14.0
Crossout,Targem Games/Choice Provisions,2017,60.0,2.0
Crypt of the NecroDancer,Brace Yourself Games,2016,82.0,5.0
Crypt of the Serpent King,Juan Alberto Munoz,2018,0.2,1.0
Cryptark,Alientrap,2017,67.33,3.0
Crystal Rift,Psytec Games Ltd,2016,32.86,7.0
Crystar,FuRyu,2019,67.22,9.0
CubeWorks,TinMoon Studios,2018,90.0,1.0
Cubikolor,Moving Player/Plug In Digital,2016,60.0,1.0
Curses 'N Chaos,Tribute Games,2015,66.0,5.0
Cyberdimension Neptunia: 4 Goddesses Online,Compile Heart/Idea Factory,2017,68.25,12.0
Daggerhood,Woblyware,2019,85.0,1.0
Dakar 18,Bigmoon Entertainment/Deep Silver,2018,48.0,5.0
Damascus Gear: Operation Tokyo - HD Edition,Arc System Works,2017,70.0,2.0
Dandara,Long Hat House/Raw Fury,2018,70.0,1.0
Danganronpa 1-2 Reload,Spike Chunsoft/NIS America,2017,85.71,14.0
Danganronpa Another Episode: Ultra Despair Girls,Spike Chunsoft,2017,70.71,7.0
Danganronpa V3: Killing Harmony,Spike Chunsoft,2017,82.1,26.0
Danger Zone,Three Fields Entertainment,2017,64.0,11.0
Danger Zone 2,Three Fields Entertainment,2018,70.4,10.0
Dangerous Driving,Three Fields Entertainment,2019,64.05,19.0
Dangerous Golf,Three Fields Entertainment,2016,54.12,17.0
Dariusburst: Chronicle Saviours,Pyramid/Degica,2015,80.42,12.0
Dark Arcana: The Carnival,Artifex Mundi,2017,50.0,1.0
Dark Eclipse,SunSoft,2018,77.5,4.0
Dark Rose Valkyrie,Compile Heart,2017,59.17,12.0
Dark Souls II: Scholar of the First Sin,From Software/Bandai Namco Games,2015,87.23,26.0
Dark Souls III,From Software/Bandai Namco Games,2016,88.93,49.0
Dark Souls III: Ashes of Ariandel,From Software/Bandai Namco Games,2016,68.43,14.0
Dark Souls III: The Fire Fades Edition,From Software/Bandai Namco Games,2017,85.0,1.0
Dark Souls III: The Ringed City,From Software/Bandai Namco Games,2017,78.0,15.0
Dark Souls Remastered,From Software/Bandai Namco Games,2018,85.06,26.0
Darkest Dungeon,Red Hook Studios,2016,79.09,11.0
Darkest Dungeon: The Crimson Court,Red Hook Studios,2017,70.0,1.0
Darknet,Archiact Interactive Ltd.,2017,78.7,10.0
Darksiders II: Deathinitive Edition,Gunfire Games/Nordic Games Publishing,2015,73.0,22.0
Darksiders III,Gunfire Games/THQ Nordic,2018,61.48,31.0
Darksiders III: Keepers of the Void,Gunfire Games/THQ Nordic,2019,56.4,5.0
Darksiders: Warmastered Edition,Kaiko/Nordic Games Publishing,2016,80.71,7.0
Darkwood,Acid Wizard Studio/Crunching Koalas,2019,77.5,14.0
Date-A-Live: Rio Reincarnation,Compile Heart/Idea Factory,2019,85.0,2.0
Dauntless,Phoenix Labs,2019,84.2,5.0
Day of the Tentacle Remastered,Double Fine Productions,2016,84.83,15.0
Daydreamer: Awakened Edition,Roland Studios/Atlus,2016,58.88,8.0
Daylight,Zombie Studios/Atlus,2014,47.0,20.0
Days Gone,Sony Bend/Sony Interactive Entertainment,2019,70.77,52.0
DayZ,Dean 'Rocket' Hall/Bohemia Interactive,2019,36.67,3.0
DC Universe Online,WBIE/Sony Online Entertainment,2013,72.5,4.0
De Blob,THQ Nordic,2017,62.5,4.0
de Blob 2,Blue Tongue Entertainment/THQ Nordic,2018,70.0,1.0
De-formers,Ready at Dawn/GameTrust,2017,51.0,4.0
Dead Alliance,Psyop/Maximum Games,2017,45.0,3.0
Dead by Daylight,505 Games,2017,62.75,8.0
Dead Cells,Motion Twin,2018,88.0,20.0
Dead Effect 2,BadFly Interactive,2017,60.0,1.0
Dead Island: Definitive Collection,Techland/Deep Silver,2016,61.71,21.0
Dead Island: Retro Revenge,Empty Clip Studios/Deep Silver,2016,65.0,6.0
Dead Island: Riptide - Definitive Edition,Techland/Deep Silver,2016,70.0,1.0
Dead Land,KODOBUR,2018,20.0,1.0
Dead Nation: Apocalypse Edition,Sony Interactive Entertainment/SCEA,2014,72.83,12.0
Dead or Alive 5 Last Round,Team Ninja/Koei Tecmo Games,2015,75.19,29.0
Dead or Alive 6,Team Ninja/Koei Tecmo Games,2019,72.13,42.0
Dead or Alive Xtreme 3: Fortune,Team Ninja/Koei Tecmo Games,2016,48.33,3.0
Dead Rising,Capcom,2016,86.5,4.0
Dead Rising 2,Blue Castle Games/Capcom,2016,76.25,4.0
Dead Rising 2: Off the Record,Capcom Vancouver/Capcom,2016,70.0,2.0
Dead Rising 4: Frank's Big Package,Capcom Vancouver/Capcom,2017,73.23,22.0
Dead Secret,Robot Invader,2018,70.0,2.0
Dead Star,Armature Studio,2016,70.07,14.0
Dead Synchronicity: Tomorrow Comes Today,Fictiorama Studios/Badland Games,2016,64.0,6.0
DEADBOLT,Hopoo Games,2018,90.0,1.0
Deadcore,Grip Games,2017,50.0,3.0
Deadlight: Director's Cut,Tequila Works/Koch Media,2016,66.72,18.0
Deadpool,Iron Galaxy Studios/Activision,2015,57.5,4.0
Dear Esther: Landmark Edition,The Chinese Room/Limited Run Games,2016,67.86,21.0
Death end re;Quest,Compile Heart,2019,71.18,17.0
Death Mark,Experience Inc.,2018,83.75,4.0
Death Road to Canada,Rocketcat Games/UKIYO PUBLISHING LIMITED,2018,85.0,5.0
Death Squared,SMG Studio,2017,70.0,3.0
Death's Gambit,White Rabbit Interactive/Adult Swim,2018,70.89,19.0
Deathstate,Workinman Interactive,LLC.,20.0,1.0
Decay of Logos,Amplify Creations/Rising Star Games,2019,47.14,7.0
Deception IV: The Nightmare Princess,Koei Tecmo Games,2015,71.52,23.0
Deer Hunter: Reloaded,GameMill Entertainment,2017,15.0,2.0
Defender's Quest: Valley of the Forgotten DX Edition,Level Up Labs,2018,83.33,3.0
Defenders of Ekron,In Vitro Games,2017,50.0,2.0
Defiance 2050,Trion Worlds,2018,55.0,2.0
Degrees of Separation,Moondrop Studios/Modus Games,2019,60.0,2.0
Deiland,CHIBIG,S.L.U.,80.0,1.0
Demetrios - The BIG Cynical Adventure,COWCAT,2017,56.67,3.0
Demon Gaze II,Experience Inc./Kadokawa,2017,71.8,10.0
Demon's Crystals,Badland Games,2017,51.67,3.0
Deployment,Whale Rock Games,2018,65.0,1.0
Deponia,Daedalic Entertainment,2016,65.0,3.0
Deponia Doomsday,Daedalic Entertainment,2019,75.0,2.0
Deracine,From Software/Sony Interactive Entertainment,2018,69.39,28.0
Desert Child,Oscar Brittain/Akupara Games,2018,60.0,4.0
Destiny,Bungie/Activision,2014,76.83,64.0
Destiny 2,Bungie/Activision,2017,84.88,57.0
Destiny 2: Curse of Osiris,Bungie/Activision,2017,57.58,18.0
Destiny 2: Forsaken,Bungie/Activision,2018,83.63,28.0
Destiny 2: Warmind,Bungie/Activision,2018,61.75,14.0
Destiny: House of Wolves,Bungie/Activision,2015,71.37,19.0
Destiny: Rise of Iron,Bungie/Activision,2016,72.2,44.0
Destiny: The Dark Below,Bungie/Activision,2014,62.62,26.0
Destiny: The Taken King,Bungie/Activision,2015,86.04,54.0
Destroy All Humans! (2005),Pandemic Studios/Nordic Games Publishing,2016,66.25,4.0
Detached,Anshar Studios,2018,69.44,9.0
Detective Gallo,Footprints Games/Adventure Productions,2018,68.33,3.0
Detention,Red Candle Game/Coconut Island Games,2017,80.43,7.0
Detroit: Become Human,Quantic Dream/Sony Interactive Entertainment,2018,77.3,50.0
Deus Ex: Mankind Divided,Eidos Montreal/Square Enix,2016,83.75,36.0
Deus Ex: Mankind Divided - A Criminal Past,Eidos Montreal/Square Enix,2017,83.5,4.0
Deus Ex: Mankind Divided - System Rift,Eidos Montreal/Square Enix,2016,75.62,8.0
Devil May Cry 4: Special Edition,Capcom,2015,77.03,17.0
Devil May Cry 5,Capcom,2019,87.0,22.0
Devil May Cry HD Collection,NeoBards Entertainment/Capcom,2018,59.5,8.0
Devious Dungeon,Noodlecake Studios,2018,70.0,1.0
Dex,Dreadlocks/Badland Games,2016,68.38,8.0
DEXED,Ninja Theory,2017,67.5,8.0
DG2: Defense Grid 2,Hidden Path Entertainment/505 Games,2014,78.5,10.0
Diablo III: Eternal Collection,Blizzard Entertainment/Activision,2017,95.0,1.0
Diablo III: Rise of the Necromancer,Blizzard Entertainment,2017,92.5,2.0
Diablo III: Ultimate Evil Edition,Blizzard Entertainment,2014,91.25,46.0
Dick Wilde,PlayStack,2017,65.0,2.0
Dick Wilde 2,Bolverk Games,2019,52.5,2.0
Digimon Story Cyber Sleuth,Media Vision/Bandai Namco Games,2016,76.15,33.0
Digimon Story Cyber Sleuth: Hacker's Memory,Media Vision/Bandai Namco Games,2018,72.3,20.0
Digimon World: Next Order,B.B.Studio/Bandai Namco Games,2017,68.75,16.0
Digital Domain's Monkey King,Digital Domain,na,70.0,1.0
Dino Dini's Kick Off Revival,The Digital Lounge/Avanquest Software,2017,23.11,9.0
Dino Frontier,Uber Entertainment,2017,70.83,6.0
DiRT 4,Codemasters,2017,85.17,23.0
DiRT Rally,Codemasters,2016,84.87,24.0
DiRT Rally 2.0,Codemasters,2019,84.82,14.0
DiRT Rally VR,Codemasters,2017,90.0,1.0
Disc Jam,High Horse Entertainment/High Horse Entertainment LLC,2017,68.33,3.0
Disco Dodgeball Remix,Zen Studios,2018,64.0,5.0
Disgaea 1 Complete,Nippon Ichi Software,2018,80.75,4.0
Disgaea 5: Alliance of Vengeance,Nippon Ichi Software/NIS America,2015,81.85,41.0
Dishonored 2,Arkane Studios/Bethesda Softworks,2016,86.94,39.0
Dishonored: Death of the Outsider,Arkane Studios/Bethesda Softworks,2017,82.62,25.0
Dishonored: Definitive Edition,Arkane Studios/Bethesda Softworks,2015,80.19,21.0
Disney Infinity 2.0 Edition,Avalanche Software/Disney Interactive Studios,2014,73.17,36.0
Disney Infinity 3.0 Edition,Avalanche Software/Disney Interactive Studios,2015,80.86,35.0
Dissidia: Final Fantasy NT,Team Ninja/Square Enix,2018,65.09,33.0
Distrust,Cheerdealers/BadLand Publishing,2018,80.0,1.0
Divekick: Addition Edition +,Iron Galaxy Studios,2014,60.0,1.0
Divide,Exploding Tuba Studios,2017,49.29,14.0
Divinity: Original Sin Enhanced Edition,Larian Studios Games Ltd/Spike Chunsoft,2015,87.86,28.0
Divinity: Original Sin II - Definitive Edition,Larian Studios Games Ltd,2018,92.0,21.0
DJMax Respect,Rocky Studio/Neowiz Entertainment,2018,87.14,7.0
DmC: Devil May Cry Definitive Edition,QLOC/Capcom,2015,83.97,36.0
Dogchild,Animatoon Studio,2016,70.0,2.0
Dogos,Pablo Testa/OPQAM,2016,50.0,2.0
Doki-Doki Universe,Humanature Studios/SCEA,2013,68.42,19.0
Dollhouse,Soedesco,2019,35.0,2.0
Don Bradman Cricket,Big Ant Studios/HES Interactive,2016,75.83,6.0
Don Bradman Cricket 17,Big Ant Studios/Home Entertainment Suppliers,2016,71.0,2.0
"Don't Die, Mr. Robot!",Infinite State Games,2016,80.0,2.0
Don't Even Think,Perfect World Beijing,2019,20.0,1.0
Don't Knock Twice,Wales Interactive Ltd.,2017,61.67,6.0
Don't Starve Together: Console Edition,Klei Entertainment,2016,80.0,2.0
Don't Starve: Console Edition,Klei Entertainment,2014,80.05,21.0
Don't Starve: Reign of Giants,Klei Entertainment,2014,70.0,1.0
Donut County,Ben Esposito/Annapurna Interactive,2018,76.58,19.0
DOOM,id Software/Bethesda Softworks,2016,85.82,42.0
DOOM (1993),Rage Software/Bethesda Softworks,2019,90.0,1.0
DOOM 3,id Software/Bethesda Softworks,2019,75.0,1.0
DOOM II,id Software/Bethesda Softworks,2019,80.0,1.0
DOOM VFR,id Software/Bethesda Softworks,2017,71.46,24.0
DOOM: Unto The Evil,id Software/Bethesda Softworks,2016,75.4,5.0
Double Dragon IV,Arc System Works,2017,51.17,18.0
Doughlings: Invasion,Hero Concept,2019,60.0,1.0
Downward Spiral: Horus Station,3rd Eye Studios,2018,62.5,6.0
Downwell,Moppin/Devolver Digital,2016,78.18,11.0
Dragon Age: Inquisition,BioWare/Electronic Arts,2014,89.68,34.0
Dragon Age: Inquisition - Jaws Of Hakkon,BioWare/Electronic Arts,2015,70.0,2.0
Dragon Age: Inquisition - The Descent,BioWare,2015,64.0,5.0
Dragon Age: Inquisition - Trespasser,BioWare,2015,85.0,1.0
Dragon Ball FighterZ,Arc System Works/Bandai Namco Games,2018,86.76,36.0
Dragon Ball: Xenoverse,Dimps Corporation/Bandai Namco Games,2015,70.26,31.0
Dragon Ball: Xenoverse 2,Dimps Corporation/Bandai Namco Games,2016,71.89,27.0
Dragon Quest Builders,Square Enix,2016,83.7,46.0
Dragon Quest Builders 2,Omega Force/Square Enix,2019,85.32,34.0
Dragon Quest Heroes II,Omega Force/Square Enix,2017,77.17,42.0
Dragon Quest Heroes: The World Tree's Woe and the Blight Below,Omega Force/Square Enix,2015,78.07,52.0
Dragon Quest XI: Echoes of an Elusive Age,Square Enix,2018,88.66,49.0
Dragon Sinker,EXE Create/Kemco,2018,30.0,1.0
Dragon Star Varnir,Compile Heart/Idea Factory,2019,74.86,7.0
Dragon's Crown Pro,Vanillaware/Atlus,2018,79.52,29.0
Dragon's Dogma: Dark Arisen,Capcom,2017,78.89,9.0
Drawful 2,Jackbox Games,Inc.,76.67,3.0
Drawn to Death,Sony Interactive Entertainment,2017,54.87,19.0
Dreadnought,Six Foot/Grey Box,2017,75.8,5.0
Dream Daddy: Dadrector's Cut,Game Grumps,2018,65.0,1.0
Dreamals,Xiness,2015,72.5,2.0
Dreamals: Dream Quest,Xiness,2016,70.0,1.0
Dreambreak,Aist/Digerati Distribution,2017,40.0,2.0
Dreamfall Chapters,Red Thread Games,2017,71.1,10.0
Dreams,Media Molecule/Sony Interactive Entertainment,na,97.5,2.0
DreamWorks Dragons Dawn of New Riders,Climax Studios/Outright Games,2019,61.25,4.0
DreamWorks Voltron VR Chronicles,Digital Domain,2017,70.0,5.0
Dreii,Etter Studio GmbH,2016,73.75,4.0
Drive on Moscow,Shenandoah Studio,2018,80.0,1.0
Drive!Drive!Drive!,different cloth/Choice Provisions,2016,59.0,6.0
Driveclub,Evolution Studios/SCEA,2014,70.72,55.0
Driveclub Bikes,Evolution Studios/SCE Australia,2015,81.54,13.0
Driveclub VR,Evolution Studios/Sony Interactive Entertainment,2016,66.22,18.0
Drowning,Polygonal Wolf/Sometimes You,2019,50.0,1.0
Drunkn Bar Fight,The Munky,2018,70.0,1.0
Duke Nukem 3D: 20th Anniversary World Tour,Gearbox Software/Gearbox Publishing,2016,75.25,16.0
Dungeon Defenders II,Trendy Entertainment,2017,78.0,2.0
Dungeon Punks,Hyper Awesome Entertainment,2016,60.0,1.0
Dungeons 2,Kalypso,2016,66.5,10.0
Dungeons 3,Realmforge Studios/Kalypso,2017,80.0,1.0
Dust: An Elysian Tail,Humble Hearts,2014,79.0,4.0
Dusty Raging Fist,PD Design Studio Pte Ltd,2018,55.0,2.0
Dying Light,Techland/Warner Bros. Interactive Entertainment,2015,75.02,43.0
Dying Light: The Bozak Horde,Techland/Warner Bros. Interactive Entertainment,2015,70.33,3.0
Dying Light: The Following,Techland/Warner Bros. Interactive Entertainment,2016,79.94,18.0
Dying Light: The Following - Enhanced Edition,Techland/Warner Bros. Interactive Entertainment,2016,86.25,4.0
Dying: Reborn,Nekcom/Oasis Games,2017,39.71,17.0
Dynamite Fishing: World Games,HandyGames,2015,50.0,2.0
Dynasty Warriors 8 Empires,Omega Force/Koei Tecmo Games,2015,66.47,19.0
Dynasty Warriors 8: Xtreme Legends Complete Edition,Omega Force/Koei Tecmo Games,2014,72.27,22.0
Dynasty Warriors 9,Omega Force/Tecmo Koei Games,2018,64.79,28.0
Dynasty Warriors: Godseekers,Omega Force/Koei Tecmo Games,2017,69.0,20.0
EA Sports UFC,EA Sports/Electronic Arts,2014,70.03,39.0
EA Sports UFC 2,EA Sports,2016,79.3,20.0
EA Sports UFC 3,EA Sports/Electronic Arts,2018,75.67,29.0
Eagle Flight,FunHouse/Ubisoft,2016,74.94,17.0
Earth Atlantis,Pixel Perfex/Headup Games,2018,40.0,2.0
Earth Defense Force 4.1: The Shadow of New Despair,Sandlot/D3Publisher,2015,65.53,35.0
Earth Defense Force 5,Sandlot/D3Publisher,2018,73.84,25.0
Earth Defense Force: Iron Rain,Yuke's/D3Publisher,2019,69.97,33.0
Earth's Dawn,One or Eight/Rising Star Games,2016,67.0,6.0
Earthfall,Holospark,2018,48.0,5.0
Earthlock,Snow Castle Games/CrossFunction,2018,75.0,2.0
Earthlock: Festival of Magic,Snow Castle Games,2017,58.0,5.0
ECHO,Ultra Ultra,2017,79.32,19.0
Echoes of the Fey: The Fox's Trail,Woodsy Studio,2017,70.0,1.0
Eden-Tomorrow,Soul Pix,2019,50.0,2.0
Edna & Harvey: Harvey's New Eyes,Daedalic Entertainment,2019,70.0,1.0
Eekeemoo: Splinters of The Dark Shard,Cooply Apps,2017,20.0,1.0
Effie,Factoria Cultural Gestio,S.L.,65.0,6.0
eFootball PES 2020,Konami,2019,76.25,12.0
Elea,Kyodai Ltd./Soedesco,2019,60.0,1.0
Electronauts,Survios,2018,83.33,3.0
Elex,Piranha Bytes/THQ Nordic,2017,58.93,14.0
Elite: Dangerous,Frontier Developments,2017,78.0,10.0
Elite: Dangerous - Commander: Deluxe Edition,Frontier Developments,2017,70.0,1.0
Embers of Mirrim,Creative Bytes,2017,76.0,4.0
Emily Wants To Play,SKH Apps/Nippon Ichi Software,2016,75.0,2.0
End Space,Orange Bridge Studios,2017,75.0,1.0
Ender of Fire,Xiness,2015,30.0,1.0
Energy Cycle,Sometimes You,2017,40.0,1.0
Energy Cycle Edge,Sometimes You,2018,60.0,1.0
Energy Hook,Happion Laboratories,2016,26.25,4.0
Energy Invasion,Sometimes You,2018,80.0,1.0
Enigmatis 2: The Mists of Ravenwood,Artifex Mundi,2017,80.0,1.0
Enigmatis 3: The Shadow of Karkhala,Big Fish Games,2018,80.0,1.0
Enigmatis: The Ghosts of Maple Creek,Artifex Mundi,2017,70.0,1.0
Enter the Gungeon,Dodge Roll/Devolver Digital,2016,82.39,23.0
Entwined,Pixel Opus/SCEA,2014,63.75,36.0
Erica,Flavourworks/Sony Interactive Entertainment,2019,73.03,16.0
Escape Goat 2,MagicalTimeBean,2014,85.0,2.0
Escape Plan,Fun Bits/SCEA,2013,69.25,8.0
Eternity: The Last Unicorn,Void Studios/1C Company,2019,40.83,6.0
ETHER One,White Paper Games,2015,73.42,6.0
Etherborn,Altered Matter,2019,72.78,9.0
Euro Fishing: Urban Edition,Dovetail Games,2017,65.0,1.0
Evasion,Archiact Interactive Ltd.,2018,77.5,4.0
EVE: Gunjack,CCP,2016,63.0,5.0
EVE: Valkyrie,CCP,2016,73.36,14.0
EVE: Valkyrie - Warzone,CCP,2017,77.5,2.0
Eventide 2: The Sorcerer's Mirror,The House Of Fables/Artifex Mundi,2017,60.0,1.0
Eventide: Slavic Fable,The House Of Fables/Artifex Mundi,2017,60.0,1.0
Everest VR,Solfar Studios,2017,60.0,2.0
EVERSPACE,ROCKFISH Games,2018,74.0,5.0
Everybody's Golf,Clap Hanz/Sony Interactive Entertainment,2017,78.42,26.0
Everybody's Golf VR,Clap Hanz/Sony Interactive Entertainment,2019,76.11,18.0
Everybody's Gone to the Rapture,The Chinese Room/SCEE,2015,79.89,57.0
EVERYTHING,David OReilly,2017,78.26,23.0
Evolve,Turtle Rock Studios/2K Games,2015,74.52,31.0
Evolve: The Hunt Evolves,Turtle Rock Studios/2K Games,2015,70.0,1.0
Exception,Traxmaster Software,2019,75.0,1.0
Exile's End,MagneticRealms/XSEED Games,2016,62.29,17.0
Exist Archive: The Other Side of the Sky,Tri-Ace/Aksys Games,2016,70.0,13.0
Expand,Chris Johnson/UKIYO PUBLISHING LIMITED,2017,76.25,4.0
Extinction,Iron Galaxy Studios/Modus Games,2018,42.91,23.0
Extreme Exorcism,Golden Ruby Games/Ripstone,2015,75.36,7.0
F1 2015,Codemasters/Ubisoft,2015,65.02,25.0
F1 2016,Codemasters,2016,81.93,27.0
F1 2017,Codemasters,2017,87.65,23.0
F1 2018,Codemasters,2018,82.7,15.0
F1 2019,Codemasters,2019,84.07,20.0
Factotum 90,TACS Games/Poppy Works,2017,75.0,1.0
Fade to Silence,Black Forest Games/THQ Nordic,2019,52.83,12.0
Fairy Fencer F: Advent Dark Force,Compile Heart/Idea Factory,2016,70.0,17.0
Falcon Age,Outerloop Games,2019,70.0,15.0
Fall of Light: Darkest Edition,RuneHeads/Digerati Distribution,2018,26.67,3.0
Fallen Legion: Flames of Rebellion,YummyYummyTummy,2017,75.0,1.0
Fallen Legion: Sins of an Empire,YummyYummyTummy,2017,64.23,13.0
Fallen: A2P Protocol,Red Katana,2017,30.0,1.0
Fallout 4,Bethesda Game Studios/Bethesda Softworks,2015,88.6,42.0
Fallout 4: Automatron,Bethesda Game Studios/Bethesda Softworks,2016,70.67,15.0
Fallout 4: Contraptions Workshop,Bethesda Game Studios/Bethesda Softworks,2016,47.5,2.0
Fallout 4: Far Harbor,Bethesda Game Studios/Bethesda Softworks,2016,70.0,12.0
Fallout 4: Nuka-World,Bethesda Game Studios/Bethesda Softworks,2016,67.38,8.0
Fallout 4: Vault-Tec Workshop,Bethesda Game Studios/Bethesda Softworks,2016,58.33,3.0
