vg_name,genre,NA_sales,EU_sales,Japan_sales,Nonspec_sales,Tot_sales,is_duplicated
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,Action,0.0,0.0,0.02,0.0,0.02,0.0
PaRappa the Rapper Remastered,Music,0.0,0.0,0.02,0.0,0.02,0.0
Earth's Dawn,Action,0.02,0.0,0.0,0.0,0.02,0.0
Big Buck Hunter Arcade,Shooter,0.02,0.0,0.0,0.0,0.02,0.0
Dungeons 2,Role-Playing,0.02,0.0,0.0,0.0,0.02,0.0
Tricky Towers,Puzzle,0.02,0.0,0.0,0.0,0.02,0.0
 No Heroes Allowed! VR,Strategy,0.0,0.0,0.02,0.0,0.02,0.0
ArmaGallant: Decks of Destiny,Strategy,0.02,0.0,0.0,0.0,0.02,0.0
Carmageddon: Max Damage,Action,0.02,0.0,0.0,0.0,0.02,0.0
Armello,Strategy,0.02,0.0,0.0,0.0,0.02,0.0
Shaq-Fu: A Legend Reborn,Action,0.02,0.0,0.0,0.0,0.02,0.0
Patapon Remastered,Music,0.0,0.0,0.02,0.0,0.02,0.0
Monster Hunter Frontier Z: Beginner's Package,Action,0.0,0.0,0.02,0.0,0.02,0.0
Professional Farmer 2016,Simulation,0.0,0.02,0.0,0.0,0.02,0.0
Natsuiro High School: Seishun Hakusho,Action,0.0,0.0,0.02,0.0,0.02,0.0
The Inner World: The Last Wind Monk,Puzzle,0.02,0.0,0.0,0.0,0.02,0.0
SteamWorld Collection,Misc,0.02,0.0,0.0,0.0,0.02,0.0
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,Visual Novel,0.0,0.0,0.02,0.0,0.02,0.0
God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,Misc,0.0,0.0,0.02,0.0,0.02,0.0
Genkai Tokki: Castle Panzers,Role-Playing,0.0,0.0,0.02,0.0,0.02,0.0
Skullgirls: 2nd Encore,Fighting,0.0,0.0,0.02,0.0,0.02,0.0
This Is The Police,Simulation,0.01,0.0,0.0,0.0,0.02,0.0
Rabbids Invasion: The Interactive TV Show,Misc,0.0,0.01,0.0,0.0,0.02,0.0
FlatOut 4: Total Insanity,Racing,0.01,0.0,0.0,0.0,0.02,0.0
Chaos;Child,Visual Novel,0.0,0.0,0.02,0.0,0.02,0.0
Touhou Shinhiroku: Urban Legend in Limbo,Fighting,0.0,0.0,0.02,0.0,0.02,0.0
Rogue Trooper: Redux,Shooter,0.01,0.0,0.0,0.0,0.02,0.0
Space Hulk: Deathwing,Shooter,0.0,0.01,0.0,0.0,0.02,0.0
Pharaonic,Action,0.01,0.0,0.0,0.0,0.02,0.0
White Day,Action,0.0,0.01,0.01,0.0,0.02,0.0
Torment: Tides of Numenera,Role-Playing,0.01,0.0,0.0,0.0,0.01,0.0
Let It Die,Action,0.0,0.01,0.01,0.0,0.01,0.0
 Summer Lesson: Miyamoto Hikari Collection,Adventure,0.0,0.0,0.01,0.0,0.01,0.0
Raven's Cry,Role-Playing,0.0,0.01,0.0,0.0,0.01,0.0
New Game! The Challenge Stage!,Adventure,0.0,0.0,0.01,0.0,0.01,0.0
Hakoniwa Company Works,Strategy,0.0,0.0,0.01,0.0,0.01,0.0
DJ Max Respect,Misc,0.0,0.0,0.01,0.0,0.01,0.0
Battle Worlds: Kronos,Strategy,0.01,0.0,0.0,0.0,0.01,0.0
Dragon's Dogma Online: Season 3,Role-Playing,0.0,0.0,0.01,0.0,0.01,0.0
Occultic;Nine,Adventure,0.0,0.0,0.01,0.0,0.01,0.0
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,Adventure,0.0,0.0,0.01,0.0,0.01,0.0
Battle Garegga Rev.2016,Strategy,0.0,0.0,0.01,0.0,0.01,0.0
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,Adventure,0.0,0.0,0.01,0.0,0.01,0.0
Farming 2017 - The Simulation,Simulation,0.0,0.01,0.0,0.0,0.01,0.0
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,Adventure,0.0,0.0,0.01,0.0,0.01,0.0
Zombie Vikings,Action,0.0,0.01,0.0,0.0,0.01,0.0
ATV Renegades,Racing,0.01,0.0,0.0,0.0,0.01,0.0
Ziggurat,Shooter,0.0,0.01,0.0,0.0,0.01,0.0
Chaos;Child: Love Chu Chu!!,Visual Novel,0.0,0.0,0.01,0.0,0.01,0.0
Moto Racer 4,Racing,0.01,0.0,0.0,0.0,0.01,0.0
LocoRoco Remastered,Platform,0.0,0.0,0.01,0.0,0.01,0.0
Lock's Quest,Strategy,0.01,0.0,0.0,0.0,0.01,0.0
Gal Gun: Double Peace,Action,0.0,0.0,0.01,0.0,0.01,0.0
Woodcutter Simulator 2016,Action,0.0,0.01,0.0,0.0,0.01,0.0
Akiba's Trip 2+A,Adventure,0.0,0.0,0.01,0.0,0.01,0.0
Date-A-Live Twin Edition: Rio Reincarnation,Adventure,0.0,0.0,0.01,0.0,0.01,0.0
Valhalla Hills,Strategy,0.01,0.0,0.0,0.0,0.01,0.0
Deception IV: Blood Ties,Action,0.0,0.0,0.01,0.0,0.01,0.0
One Piece: Unlimited World Red,Action,0.0,0.0,0.01,0.0,0.01,0.0
Hyper Light Drifter,Role-Playing,0.0,0.0,0.01,0.0,0.01,0.0
Teslagrad,Platform,0.0,0.01,0.0,0.0,0.01,0.0
Darius Burst: Chronicle Saviours,Action,0.0,0.0,0.01,0.0,0.01,0.0
The Escapists: The Walking Dead,Action,0.0,0.0,0.0,0.0,0.01,0.0
Super Meat Boy,Platform,0.0,0.0,0.0,0.0,0.01,0.0
,,,,,,,
