Developer,Country,Est.,Status
Dovetail Games,England,2008,Independent
The Dovetail Group,United States,c. 1984,Defunct
EA Black Box,Canada,1998,Defunct
EA Digital Illusions CE (EA DICE),Sweden,1992,Subsidiary
Egosoft,Germany,1988,Independent
Eighting,Japan,1993,Subsidiary
Electronic Arts,US,1982,Independent
Elemental Games,Russia,1999,Defunct
Engine Software,Netherlands,1995,Independent
Ensemble Studios,US,1995,Defunct
Epic Games,US,1991,Independent
Epicenter Studios,US,2007,Defunct
Epyx,US,1978,Defunct
ESA (formerly Softmax),South Korea,1994,Defunct
Étranges Libellules,France,1994,Defunct
Eugen Systems,France,2000,Independent
Eurocom,England,1988,Defunct
Evolution Studios,England,1999,Defunct
Examu,Japan,1999,Independent
Eyedentity Games,South Korea,2007,Subsidiary
F4,France,2002,Independent
Facepunch Studios,England,2009,Independent
FarSight Studios,US,1989,Independent
Fatshark,Sweden,2008,Subsidiary
feelplus,Japan,1992,Defunct
Firaxis Games,US,1996,Subsidiary
Firefly Studios,England,1999,Independent
Firesprite,England,2012,Independent
First Star Software,US,1982,Subsidiary
Flagship Studios,US,2003,Defunct
Flying Wild Hog,Poland,2009,Independent
Foundation 9 Entertainment,US,1992,Defunct
Fox Digital Entertainment,US,2002,Subsidiary
FoxNext,US,2017,Subsidiary
Frictional Games,Sweden,2001,Independent
Frogwares,Ukraine,2000,Independent
FromSoftware,Japan,1986,Subsidiary
Frontier Developments,England,1994,Independent
Frozenbyte,Finland,2001,Independent
FTL Games,US,1982,Defunct
FUN Labs,Romania,1999,Independent
Funcom,Norway,1993,Independent
FuRyu,Japan,2007,Independent
Futuremark,Finland,1997,Defunct
Gaijin Entertainment,Russia,2002,Independent
Game Arts,Japan,1985,Subsidiary
Game Freak,Japan,1989,Independent
GameHouse,US,1998,Subsidiary
Gameloft,France,1999,Subsidiary
Gearbox Software,US,1999,Independent
Geewa,Czech Republic,2005,Independent
Genki,Japan,1990,Subsidiary
Ghost Games,Sweden,2011,Subsidiary
Glu Mobile,US,2001,Independent
Gogii Games,Canada,2006,Independent
Good-Feel,Japan,2005,Independent
Granzella,Japan,2011,Independent
Grasshopper Manufacture,Japan,1998,Subsidiary
Gravity,South Korea,2000,Subsidiary
Gremlin Interactive,England,1984,Defunct
Grezzo,Japan,2006,Independent
Grinding Gear Games,New Zealand,2006,Subsidiary
Griptonite Games,US,1994,Subsidiary
GSC Game World,Ukraine,1995,Independent
Guerrilla Cambridge,England,"1997 (as SCE Cambridge Studio), 2013",Defunct
Guerrilla Games,Netherlands,2000,Subsidiary
Gunfire Games,US,2014,Subsidiary
GungHo Online Entertainment,Japan,1998,Independent
Gust,Japan,1993,Subsidiary
Haemimont Games,Bulgaria,1997,Independent
HAL Laboratory,Japan,1980,Independent
Halfbrick,Australia,2001,Independent
Hanaho,US,1992,Defunct
h.a.n.d.,Japan,1993,Independent
Hangar 13,US,2014,Subsidiary
Harebrained Schemes,US,2011,Subsidiary
Harmonix Music Systems,US,1995,Independent
Headstrong Games,England,2000,Defunct
Heartbeat,Japan,1992,Defunct
HB Studios,Canada,2000,Independent
HeroCraft,Russia,2001,Independent
High Moon Studios,US,2005,Subsidiary
High Voltage Software,US,1993,Independent
Hoplon Infotainment,Brazil,2004,Independent
Hothead Games,Canada,2006,Independent
Housemarque,Finland,1995,Independent
Hudson Soft,Japan,1973,Defunct
Human Entertainment,Japan,1983,Defunct
Human Head Studios,US,1997,Independent
Humongous Entertainment,US,1992,Subsidiary
Hyperion Entertainment,Belgium,1999,Independent
Ice-Pick Lodge,Russia,2002,Independent
id Software,US,1991,Subsidiary
Idea Factory,Japan,1994,Independent
Idol Minds,US,1997,Independent
Imageepoch,Japan,2005,Defunct
Image & Form,Sweden,1997,Subsidiary
Imagineer,Japan,1986,Independent
Infinity Ward,US,2002,Subsidiary
Infocom,US,1979,Defunct
Incredible Technologies,US,1985,Defunct
indieszero,Japan,1997,Independent
Innerloop Studios,Norway,1996,Defunct
Insomniac Games,US,1994,Subsidiary
Intelligent Systems,Japan,1986,Independent
Interplay Entertainment,US,1983,Independent
Introversion Software,England,2002,Independent
inXile Entertainment,US,2002,Subsidiary
IO Interactive,Denmark,1998,Independent
Ion Storm,US,1996,Defunct
Ion Storm Austin,US,1997,Defunct
Irem,Japan,1974,Subsidiary
Iron Galaxy Studios,US,2008,Independent
Iron Lore Entertainment,US,2000,Defunct
Irrational Games,US,1996,Defunct
Ivory Tower,France,2007,Subsidiary
Jadestone Group,Sweden,2000,Subsidiary
Jagex,England,2001,Subsidiary
Jaleco,Japan,1974,Defunct
Jam City,US,2007,Subsidiary
Javaground,US,2001,Defunct
Jupiter,Japan,1996,Independent
JV Games,US,1999,Defunct
Kairosoft,Japan,1996,Independent
Kalypso Media,Germany,2006,Independent
Kaos Studios,US,2006,Defunct
Keen Software House,Czech Republic,2010,Independent
Kesmai,US,1981,Defunct
Kiloo Games,Denmark,2000,Independent
King,Sweden,2003,Subsidiary
Koei Tecmo Games (formerly Koei),Japan,1978,Subsidiary
KOG Studios,South Korea,2000,Independent
Kojima Productions,Japan,2005,Independent
Konami,Japan,1969,Independent
Kongzhong,China,2002,Independent
Krome Studios,Australia,1999,Defunct
Krome Studios Melbourne,Australia,1988,Defunct
Kuju Entertainment,England,1998,Subsidiary
Kunos Simulazioni,Italy,2005,Subsidiary
Kush Games,US,1998,Defunct
Kuma Reality Games,US,2003,Defunct
Kylotonn,France,2002,Subsidiary
Larian Studios,Belgium,1996,Independent
